package,license,allowed,note
"@img/sharp-win32-x64","Apache-2.0 AND LGPL-3.0-or-later","YES","Image processing — LGPL via dynamic linking only"
"@portarium/cockpit","MIT","YES","Internal package"
"@react-leaflet/core","Hippocratic-2.1","YES","Frontend mapping lib — Cockpit UI only"
"@vitejs/plugin-react","MIT","YES",""
"@vitest/browser","MIT","YES",""
"@vitest/coverage-v8","MIT","YES",""
"@vitest/expect","MIT","YES",""
"@vitest/mocker","MIT","YES",""
"@vitest/pretty-format","MIT","YES",""
"@vitest/runner","MIT","YES",""
"@vitest/snapshot","MIT","YES",""
"@vitest/spy","MIT","YES",""
"@vitest/utils","MIT","YES",""
"@webassemblyjs/ast","MIT","YES",""
"@webassemblyjs/floating-point-hex-parser","MIT","YES",""
"@webassemblyjs/helper-api-error","MIT","YES",""
"@webassemblyjs/helper-buffer","MIT","YES",""
"@webassemblyjs/helper-numbers","MIT","YES",""
"@webassemblyjs/helper-wasm-bytecode","MIT","YES",""
"@webassemblyjs/helper-wasm-section","MIT","YES",""
"@webassemblyjs/ieee754","MIT","YES",""
"@webassemblyjs/leb128","Apache-2.0","YES",""
"@webassemblyjs/utf8","MIT","YES",""
"@webassemblyjs/wasm-edit","MIT","YES",""
"@webassemblyjs/wasm-gen","MIT","YES",""
"@webassemblyjs/wasm-opt","MIT","YES",""
"@webassemblyjs/wasm-parser","MIT","YES",""
"@webassemblyjs/wast-printer","MIT","YES",""
"@xtuc/ieee754","BSD-3-Clause","YES",""
"@xtuc/long","Apache-2.0","YES",""
"@xyflow/react","MIT","YES",""
"@xyflow/system","MIT","YES",""
"abort-controller","MIT","YES",""
"accepts","MIT","YES",""
"acorn","MIT","YES",""
"acorn-import-phases","MIT","YES",""
"acorn-jsx","MIT","YES",""
"acorn-jsx-walk","MIT","YES",""
"acorn-loose","MIT","YES",""
"acorn-walk","MIT","YES",""
"agent-base","MIT","YES",""
"ajv","MIT","YES",""
"ajv-formats","MIT","YES",""
"ajv-keywords","MIT","YES",""
"angular-html-parser","MIT","YES",""
"ansi-escapes","MIT","YES",""
"ansi-regex","MIT","YES",""
"ansi-styles","MIT","YES",""
"ansis","ISC","YES",""
"argparse","Python-2.0","YES",""
"aria-hidden","MIT","YES",""
"aria-query","Apache-2.0","YES",""
"array-buffer-byte-length","MIT","YES",""
"array-includes","MIT","YES",""
"array-timsort","MIT","YES",""
"array.prototype.findlastindex","MIT","YES",""
"array.prototype.flat","MIT","YES",""
"array.prototype.flatmap","MIT","YES",""
"arraybuffer.prototype.slice","MIT","YES",""
"assertion-error","MIT","YES",""
"ast-types","MIT","YES",""
"ast-v8-to-istanbul","MIT","YES",""
"async-function","MIT","YES",""
"available-typed-arrays","MIT","YES",""
"axe-core","MPL-2.0","YES","Accessibility testing — build-time only"
"b4a","Apache-2.0","YES",""
"balanced-match","MIT","YES",""
"bare-events","Apache-2.0","YES",""
"bare-fs","Apache-2.0","YES",""
"bare-os","Apache-2.0","YES",""
"bare-path","Apache-2.0","YES",""
"bare-stream","Apache-2.0","YES",""
"bare-url","Apache-2.0","YES",""
"baseline-browser-mapping","Apache-2.0","YES",""
"basic-ftp","MIT","YES",""
"better-opn","MIT","YES",""
"body-parser","MIT","YES",""
"bowser","MIT","YES",""
"brace-expansion","MIT","YES",""
"braces","MIT","YES",""
"browserslist","MIT","YES",""
"buffer-crc32","MIT","YES",""
"buffer-from","MIT","YES",""
"builtin-modules","MIT","YES",""
"bundle-name","MIT","YES",""
"bytes","MIT","YES",""
"call-bind","MIT","YES",""
"call-bind-apply-helpers","MIT","YES",""
"call-bound","MIT","YES",""
"callsites","MIT","YES",""
"caniuse-lite","CC-BY-4.0","YES",""
"chai","MIT","YES",""
"chalk","MIT","YES",""
"chalk-template","MIT","YES",""
"change-case","MIT","YES",""
"chardet","MIT","YES",""
"check-error","MIT","YES",""
"chrome-trace-event","MIT","YES",""
"chromium-bidi","Apache-2.0","YES",""
"ci-info","MIT","YES",""
"class-variance-authority","Apache-2.0","YES",""
"classcat","MIT","YES",""
"clean-regexp","MIT","YES",""
"clear-module","MIT","YES",""
"cli-cursor","MIT","YES",""
"cli-spinners","MIT","YES",""
"cli-truncate","MIT","YES",""
